마왕 	⋯겉보기와는 상당히 다르군.
마왕 	설마 이렇게 끝날 줄은⋯⋯.
주인공 (플레이어)	말했잖아. 여기까지라고.
나레이션	그래. 이야기의 끝을 정하는 것은 주인공인 법이다.
나레이션	마왕이 소멸하자 구슬처럼 생긴 것과 묘한 열쇠 하나가 그 자리에 남는다.
주인공 (플레이어)	이건 뭐지? 일단 챙겨둘까⋯.
주인공 (플레이어)	휴, 이제 정말 끝이겠지? 하마터면 내가 당할 뻔했네.
왕 	누구⋯ 없습니⋯⋯!
주인공 (플레이어)	⋯방금 저쪽에서 무슨 소리가 들린 것 같은데?
나레이션	가봐야겠지? 용사니까!
나레이션	
주인공 (플레이어)	누구 있습니⋯ 아, 당신은?
왕 	아아⋯ 드디어 사람이⋯!
주인공 (플레이어)	예쁘다⋯⋯. 헉, 이게 아니라.
왕 	나는 피아럭스의 국왕, 리셰레라 하오.
왕 	그대는⋯ 차르덴이 소환한 용사인가?
주인공 (플레이어)	엇, 어떻게 아셨어요?
왕 	그래⋯⋯. 역시 그랬군.
왕 	항상 이 땅에 위기가 닥쳐왔을 때, 우리를 구해낸 것은 이계의 용사였네.
왕 	이번에도 그랬겠거니 추측한 것뿐이지. 마왕은 또 한 번 봉인된 것인가?
주인공 (플레이어)	아하. ⋯딱히 봉인한다는 느낌은 안 들었지만요.
주인공 (플레이어)	혼자 스르륵 사라지던데요? 구슬이랑 열쇠만 냅두고.
왕 	소멸했다는 말인가?!
왕 	이럴 수가⋯ 신이시여⋯⋯.
왕 	드디어 이 땅에 평화가 찾아온단 말입니까⋯⋯.
주인공 (플레이어)	그건 그렇고, 혹시 이 열쇠가 이곳의 것인가?
나레이션	정답이었다.
왕 	아아⋯ 고맙네. 정말 고마워.
왕 	괜찮다면 함께 왕도로 돌아가지 않겠나?
주인공 (플레이어)	그⋯⋯ 아뇨, 전 슬슬 집에 가고 싶은데.
왕 	돌아가는 방법은 알고?
주인공 (플레이어)	⋯⋯.
왕 	하하, 너무 곤란해하지 말게.
왕 	이런 적은 처음이라⋯ 나도 잘은 모르겠지만,
여기에 있는 것보단 왕도로 가보는 편이 나을걸세.
왕 	어쩌면 수석 마법사인 차르덴이 돌아와 있을지도 모르지⋯.
주인공 (플레이어)	⋯⋯. 어쩔 수 없네요. 그럴게요, 그럼.
